"country","date","confirmed","recovered","recovery_rate"
"Angola",2020-01-22,0,0,NA
"Angola",2020-01-23,0,0,NA
"Angola",2020-01-24,0,0,NA
"Angola",2020-01-25,0,0,NA
"Angola",2020-01-26,0,0,NA
"Angola",2020-01-27,0,0,NA
"Angola",2020-01-28,0,0,NA
"Angola",2020-01-29,0,0,NA
"Angola",2020-01-30,0,0,NA
"Angola",2020-01-31,0,0,NA
"Angola",2020-02-01,0,0,NA
"Angola",2020-02-02,0,0,NA
"Angola",2020-02-03,0,0,NA
"Angola",2020-02-04,0,0,NA
"Angola",2020-02-05,0,0,NA
"Angola",2020-02-06,0,0,NA
"Angola",2020-02-07,0,0,NA
"Angola",2020-02-08,0,0,NA
"Angola",2020-02-09,0,0,NA
"Angola",2020-02-10,0,0,NA
"Angola",2020-02-11,0,0,NA
"Angola",2020-02-12,0,0,NA
"Angola",2020-02-13,0,0,NA
"Angola",2020-02-14,0,0,NA
"Angola",2020-02-15,0,0,NA
"Angola",2020-02-16,0,0,NA
"Angola",2020-02-17,0,0,NA
"Angola",2020-02-18,0,0,NA
"Angola",2020-02-19,0,0,NA
"Angola",2020-02-20,0,0,NA
"Angola",2020-02-21,0,0,NA
"Angola",2020-02-22,0,0,NA
"Angola",2020-02-23,0,0,NA
"Angola",2020-02-24,0,0,NA
"Angola",2020-02-25,0,0,NA
"Angola",2020-02-26,0,0,NA
"Angola",2020-02-27,0,0,NA
"Angola",2020-02-28,0,0,NA
"Angola",2020-02-29,0,0,NA
"Angola",2020-03-01,0,0,NA
"Angola",2020-03-02,0,0,NA
"Angola",2020-03-03,0,0,NA
"Angola",2020-03-04,0,0,NA
"Angola",2020-03-05,0,0,NA
"Angola",2020-03-06,0,0,NA
"Angola",2020-03-07,0,0,NA
"Angola",2020-03-08,0,0,NA
"Angola",2020-03-09,0,0,NA
"Angola",2020-03-10,0,0,NA
"Angola",2020-03-11,0,0,NA
"Angola",2020-03-12,0,0,NA
"Angola",2020-03-13,0,0,NA
"Angola",2020-03-14,0,0,NA
"Angola",2020-03-15,0,0,NA
"Angola",2020-03-16,0,0,NA
"Angola",2020-03-17,0,0,NA
"Angola",2020-03-18,0,0,NA
"Angola",2020-03-19,0,0,NA
"Angola",2020-03-20,1,0,0
"Angola",2020-03-21,1,0,0
"Angola",2020-03-22,0,0,0
"Angola",2020-03-23,1,0,0
"Angola",2020-03-24,0,0,0
"Angola",2020-03-25,0,0,0
"Angola",2020-03-26,1,0,0
"Angola",2020-03-27,0,0,0
"Angola",2020-03-28,1,0,0
"Angola",2020-03-29,2,0,0
"Angola",2020-03-30,0,0,0
"Angola",2020-03-31,0,1,14.29
"Angola",2020-04-01,1,0,12.5
"Angola",2020-04-02,0,0,12.5
"Angola",2020-04-03,0,0,12.5
"Angola",2020-04-04,2,1,20
"Angola",2020-04-05,4,0,14.29
"Angola",2020-04-06,2,0,12.5
"Angola",2020-04-07,1,0,11.76
"Angola",2020-04-08,2,0,10.53
"Angola",2020-04-09,0,0,10.53
"Angola",2020-04-10,0,0,10.53
"Angola",2020-04-11,0,2,21.05
"Angola",2020-04-12,0,0,21.05
"Angola",2020-04-13,0,0,21.05
"Angola",2020-04-14,0,1,26.32
"Angola",2020-04-15,0,0,26.32
"Angola",2020-04-16,0,0,26.32
"Angola",2020-04-17,0,0,26.32
"Angola",2020-04-18,5,1,25
"Angola",2020-04-19,0,0,25
"Angola",2020-04-20,0,0,25
"Angola",2020-04-21,0,0,25
"Angola",2020-04-22,1,0,24
"Angola",2020-04-23,0,0,24
"Angola",2020-04-24,0,0,24
"Angola",2020-04-25,0,0,24
"Angola",2020-04-26,1,0,23.08
"Angola",2020-04-27,1,0,22.22
"Angola",2020-04-28,0,0,22.22
"Angola",2020-04-29,0,1,25.93
"Angola",2020-04-30,0,0,25.93
"Angola",2020-05-01,3,4,36.67
"Angola",2020-05-02,5,0,31.43
"Angola",2020-05-03,0,0,31.43
"Angola",2020-05-04,0,0,31.43
"Angola",2020-05-05,1,0,30.56
"Angola",2020-05-06,0,0,30.56
"Angola",2020-05-07,0,0,30.56
"Angola",2020-05-08,7,0,25.58
"Angola",2020-05-09,0,2,30.23
"Angola",2020-05-10,2,0,28.89
"Angola",2020-05-11,0,0,28.89
"Angola",2020-05-12,0,0,28.89
"Angola",2020-05-13,0,1,31.11
"Angola",2020-05-14,3,0,29.17
"Angola",2020-05-15,0,3,35.42
"Angola",2020-05-16,0,0,35.42
"Angola",2020-05-17,0,0,35.42
"Angola",2020-05-18,2,0,34
"Angola",2020-05-19,2,0,32.69
"Angola",2020-05-20,0,0,32.69
"Angola",2020-05-21,6,0,29.31
"Angola",2020-05-22,2,0,28.33
"Angola",2020-05-23,1,1,29.51
"Angola",2020-05-24,8,0,26.09
"Angola",2020-05-25,1,0,25.71
"Angola",2020-05-26,0,0,25.71
"Angola",2020-05-27,1,0,25.35
"Angola",2020-05-28,3,0,24.32
"Angola",2020-05-29,7,0,22.22
"Angola",2020-05-30,3,0,21.43
"Angola",2020-05-31,2,0,20.93
"Angola",2020-06-01,0,0,20.93
"Angola",2020-06-02,0,0,20.93
"Angola",2020-06-03,0,0,20.93
"Angola",2020-06-04,0,0,20.93
"Angola",2020-06-05,0,3,24.42
"Angola",2020-06-06,2,3,27.27
"Angola",2020-06-07,3,0,26.37
"Angola",2020-06-08,1,14,41.3
"Angola",2020-06-09,4,0,39.58
"Angola",2020-06-10,17,2,35.4
"Angola",2020-06-11,5,1,34.75
"Angola",2020-06-12,12,1,32.31
"Angola",2020-06-13,8,19,44.2
"Angola",2020-06-14,2,0,43.57
"Angola",2020-06-15,2,3,45.07
"Angola",2020-06-16,6,0,43.24
"Angola",2020-06-17,7,0,41.29
"Angola",2020-06-18,11,0,38.55
"Angola",2020-06-19,6,2,38.37
"Angola",2020-06-20,4,0,37.5
"Angola",2020-06-21,7,11,42.08
"Angola",2020-06-22,3,0,41.4
"Angola",2020-06-23,3,0,40.74
"Angola",2020-06-24,8,0,39.09
"Angola",2020-06-25,15,4,38.21
"Angola",2020-06-26,0,0,38.21
"Angola",2020-06-27,47,0,31.27
"Angola",2020-06-28,8,0,30.34
"Angola",2020-06-29,9,12,33.7
"Angola",2020-06-30,8,0,32.75
"Angola",2020-07-01,7,4,33.33
"Angola",2020-07-02,24,0,30.79
"Angola",2020-07-03,13,10,32.62
"Angola",2020-07-04,18,1,31.21
"Botswana",2020-01-22,0,0,NA
"Botswana",2020-01-23,0,0,NA
"Botswana",2020-01-24,0,0,NA
"Botswana",2020-01-25,0,0,NA
"Botswana",2020-01-26,0,0,NA
"Botswana",2020-01-27,0,0,NA
"Botswana",2020-01-28,0,0,NA
"Botswana",2020-01-29,0,0,NA
"Botswana",2020-01-30,0,0,NA
"Botswana",2020-01-31,0,0,NA
"Botswana",2020-02-01,0,0,NA
"Botswana",2020-02-02,0,0,NA
"Botswana",2020-02-03,0,0,NA
"Botswana",2020-02-04,0,0,NA
"Botswana",2020-02-05,0,0,NA
"Botswana",2020-02-06,0,0,NA
"Botswana",2020-02-07,0,0,NA
"Botswana",2020-02-08,0,0,NA
"Botswana",2020-02-09,0,0,NA
"Botswana",2020-02-10,0,0,NA
"Botswana",2020-02-11,0,0,NA
"Botswana",2020-02-12,0,0,NA
"Botswana",2020-02-13,0,0,NA
"Botswana",2020-02-14,0,0,NA
"Botswana",2020-02-15,0,0,NA
"Botswana",2020-02-16,0,0,NA
"Botswana",2020-02-17,0,0,NA
"Botswana",2020-02-18,0,0,NA
"Botswana",2020-02-19,0,0,NA
"Botswana",2020-02-20,0,0,NA
"Botswana",2020-02-21,0,0,NA
"Botswana",2020-02-22,0,0,NA
"Botswana",2020-02-23,0,0,NA
"Botswana",2020-02-24,0,0,NA
"Botswana",2020-02-25,0,0,NA
"Botswana",2020-02-26,0,0,NA
"Botswana",2020-02-27,0,0,NA
"Botswana",2020-02-28,0,0,NA
"Botswana",2020-02-29,0,0,NA
"Botswana",2020-03-01,0,0,NA
"Botswana",2020-03-02,0,0,NA
"Botswana",2020-03-03,0,0,NA
"Botswana",2020-03-04,0,0,NA
"Botswana",2020-03-05,0,0,NA
"Botswana",2020-03-06,0,0,NA
"Botswana",2020-03-07,0,0,NA
"Botswana",2020-03-08,0,0,NA
"Botswana",2020-03-09,0,0,NA
"Botswana",2020-03-10,0,0,NA
"Botswana",2020-03-11,0,0,NA
"Botswana",2020-03-12,0,0,NA
"Botswana",2020-03-13,0,0,NA
"Botswana",2020-03-14,0,0,NA
"Botswana",2020-03-15,0,0,NA
"Botswana",2020-03-16,0,0,NA
"Botswana",2020-03-17,0,0,NA
"Botswana",2020-03-18,0,0,NA
"Botswana",2020-03-19,0,0,NA
"Botswana",2020-03-20,0,0,NA
"Botswana",2020-03-21,0,0,NA
"Botswana",2020-03-22,0,0,NA
"Botswana",2020-03-23,0,0,NA
"Botswana",2020-03-24,0,0,NA
"Botswana",2020-03-25,0,0,NA
"Botswana",2020-03-26,0,0,NA
"Botswana",2020-03-27,0,0,NA
"Botswana",2020-03-28,0,0,NA
"Botswana",2020-03-29,0,0,NA
"Botswana",2020-03-30,3,0,0
"Botswana",2020-03-31,1,0,0
"Botswana",2020-04-01,0,0,0
"Botswana",2020-04-02,0,0,0
"Botswana",2020-04-03,0,0,0
"Botswana",2020-04-04,0,0,0
"Botswana",2020-04-05,2,0,0
"Botswana",2020-04-06,0,0,0
"Botswana",2020-04-07,0,0,0
"Botswana",2020-04-08,0,0,0
"Botswana",2020-04-09,7,0,0
"Botswana",2020-04-10,0,0,0
"Botswana",2020-04-11,0,0,0
"Botswana",2020-04-12,0,0,0
"Botswana",2020-04-13,0,0,0
"Botswana",2020-04-14,0,0,0
"Botswana",2020-04-15,0,0,0
"Botswana",2020-04-16,2,0,0
"Botswana",2020-04-17,0,0,0
"Botswana",2020-04-18,0,0,0
"Botswana",2020-04-19,5,0,0
"Botswana",2020-04-20,0,0,0
"Botswana",2020-04-21,0,0,0
"Botswana",2020-04-22,2,0,0
"Botswana",2020-04-23,0,0,0
"Botswana",2020-04-24,0,0,0
"Botswana",2020-04-25,0,0,0
"Botswana",2020-04-26,0,0,0
"Botswana",2020-04-27,0,0,0
"Botswana",2020-04-28,1,0,0
"Botswana",2020-04-29,0,5,21.74
"Botswana",2020-04-30,0,0,21.74
"Botswana",2020-05-01,0,3,34.78
"Botswana",2020-05-02,0,0,34.78
"Botswana",2020-05-03,0,0,34.78
"Botswana",2020-05-04,0,0,34.78
"Botswana",2020-05-05,0,0,34.78
"Botswana",2020-05-06,0,0,34.78
"Botswana",2020-05-07,0,1,39.13
"Botswana",2020-05-08,0,0,39.13
"Botswana",2020-05-09,0,3,52.17
"Botswana",2020-05-10,0,0,52.17
"Botswana",2020-05-11,1,0,50
"Botswana",2020-05-12,0,5,70.83
"Botswana",2020-05-13,0,0,70.83
"Botswana",2020-05-14,0,0,70.83
"Botswana",2020-05-15,0,0,70.83
"Botswana",2020-05-16,0,0,70.83
"Botswana",2020-05-17,1,0,68
"Botswana",2020-05-18,0,0,68
"Botswana",2020-05-19,0,0,68
"Botswana",2020-05-20,0,0,68
"Botswana",2020-05-21,4,2,65.52
"Botswana",2020-05-22,1,0,63.33
"Botswana",2020-05-23,0,0,63.33
"Botswana",2020-05-24,5,0,54.29
"Botswana",2020-05-25,0,0,54.29
"Botswana",2020-05-26,0,1,57.14
"Botswana",2020-05-27,0,0,57.14
"Botswana",2020-05-28,0,0,57.14
"Botswana",2020-05-29,0,0,57.14
"Botswana",2020-05-30,0,0,57.14
"Botswana",2020-05-31,0,0,57.14
"Botswana",2020-06-01,3,0,52.63
"Botswana",2020-06-02,2,3,57.5
"Botswana",2020-06-03,0,0,57.5
"Botswana",2020-06-04,0,0,57.5
"Botswana",2020-06-05,0,0,57.5
"Botswana",2020-06-06,0,0,57.5
"Botswana",2020-06-07,0,0,57.5
"Botswana",2020-06-08,2,1,57.14
"Botswana",2020-06-09,0,0,57.14
"Botswana",2020-06-10,6,0,50
"Botswana",2020-06-11,0,0,50
"Botswana",2020-06-12,0,0,50
"Botswana",2020-06-13,12,0,40
"Botswana",2020-06-14,0,0,40
"Botswana",2020-06-15,0,0,40
"Botswana",2020-06-16,0,0,40
"Botswana",2020-06-17,19,1,31.65
"Botswana",2020-06-18,0,0,31.65
"Botswana",2020-06-19,10,0,28.09
"Botswana",2020-06-20,0,0,28.09
"Botswana",2020-06-21,0,0,28.09
"Botswana",2020-06-22,0,0,28.09
"Botswana",2020-06-23,0,0,28.09
"Botswana",2020-06-24,3,0,27.17
"Botswana",2020-06-25,0,0,27.17
"Botswana",2020-06-26,0,0,27.17
"Botswana",2020-06-27,0,0,27.17
"Botswana",2020-06-28,0,0,27.17
"Botswana",2020-06-29,83,0,14.29
"Botswana",2020-06-30,52,3,12.33
"Botswana",2020-07-01,0,0,12.33
"Botswana",2020-07-02,0,0,12.33
"Botswana",2020-07-03,50,1,10.47
"Botswana",2020-07-04,0,0,10.47
"Eswatini",2020-01-22,0,0,NA
"Eswatini",2020-01-23,0,0,NA
"Eswatini",2020-01-24,0,0,NA
"Eswatini",2020-01-25,0,0,NA
"Eswatini",2020-01-26,0,0,NA
"Eswatini",2020-01-27,0,0,NA
"Eswatini",2020-01-28,0,0,NA
"Eswatini",2020-01-29,0,0,NA
"Eswatini",2020-01-30,0,0,NA
"Eswatini",2020-01-31,0,0,NA
"Eswatini",2020-02-01,0,0,NA
"Eswatini",2020-02-02,0,0,NA
"Eswatini",2020-02-03,0,0,NA
"Eswatini",2020-02-04,0,0,NA
"Eswatini",2020-02-05,0,0,NA
"Eswatini",2020-02-06,0,0,NA
"Eswatini",2020-02-07,0,0,NA
"Eswatini",2020-02-08,0,0,NA
"Eswatini",2020-02-09,0,0,NA
"Eswatini",2020-02-10,0,0,NA
"Eswatini",2020-02-11,0,0,NA
"Eswatini",2020-02-12,0,0,NA
"Eswatini",2020-02-13,0,0,NA
"Eswatini",2020-02-14,0,0,NA
"Eswatini",2020-02-15,0,0,NA
"Eswatini",2020-02-16,0,0,NA
"Eswatini",2020-02-17,0,0,NA
"Eswatini",2020-02-18,0,0,NA
"Eswatini",2020-02-19,0,0,NA
"Eswatini",2020-02-20,0,0,NA
"Eswatini",2020-02-21,0,0,NA
"Eswatini",2020-02-22,0,0,NA
"Eswatini",2020-02-23,0,0,NA
"Eswatini",2020-02-24,0,0,NA
"Eswatini",2020-02-25,0,0,NA
"Eswatini",2020-02-26,0,0,NA
"Eswatini",2020-02-27,0,0,NA
"Eswatini",2020-02-28,0,0,NA
"Eswatini",2020-02-29,0,0,NA
"Eswatini",2020-03-01,0,0,NA
"Eswatini",2020-03-02,0,0,NA
"Eswatini",2020-03-03,0,0,NA
"Eswatini",2020-03-04,0,0,NA
"Eswatini",2020-03-05,0,0,NA
"Eswatini",2020-03-06,0,0,NA
"Eswatini",2020-03-07,0,0,NA
"Eswatini",2020-03-08,0,0,NA
"Eswatini",2020-03-09,0,0,NA
"Eswatini",2020-03-10,0,0,NA
"Eswatini",2020-03-11,0,0,NA
"Eswatini",2020-03-12,0,0,NA
"Eswatini",2020-03-13,0,0,NA
"Eswatini",2020-03-14,1,0,0
"Eswatini",2020-03-15,0,0,0
"Eswatini",2020-03-16,0,0,0
"Eswatini",2020-03-17,0,0,0
"Eswatini",2020-03-18,0,0,0
"Eswatini",2020-03-19,0,0,0
"Eswatini",2020-03-20,0,0,0
"Eswatini",2020-03-21,0,0,0
"Eswatini",2020-03-22,3,0,0
"Eswatini",2020-03-23,0,0,0
"Eswatini",2020-03-24,0,0,0
"Eswatini",2020-03-25,0,0,0
"Eswatini",2020-03-26,2,0,0
"Eswatini",2020-03-27,3,0,0
"Eswatini",2020-03-28,0,0,0
"Eswatini",2020-03-29,0,0,0
"Eswatini",2020-03-30,0,0,0
"Eswatini",2020-03-31,0,0,0
"Eswatini",2020-04-01,0,0,0
"Eswatini",2020-04-02,0,0,0
"Eswatini",2020-04-03,0,0,0
"Eswatini",2020-04-04,0,0,0
"Eswatini",2020-04-05,0,0,0
"Eswatini",2020-04-06,1,4,40
"Eswatini",2020-04-07,0,0,40
"Eswatini",2020-04-08,2,3,58.33
"Eswatini",2020-04-09,0,0,58.33
"Eswatini",2020-04-10,0,0,58.33
"Eswatini",2020-04-11,0,0,58.33
"Eswatini",2020-04-12,2,0,50
"Eswatini",2020-04-13,1,0,46.67
"Eswatini",2020-04-14,0,1,53.33
"Eswatini",2020-04-15,0,0,53.33
"Eswatini",2020-04-16,1,0,50
"Eswatini",2020-04-17,0,0,50
"Eswatini",2020-04-18,6,0,36.36
"Eswatini",2020-04-19,0,0,36.36
"Eswatini",2020-04-20,2,0,33.33
"Eswatini",2020-04-21,7,0,25.81
"Eswatini",2020-04-22,0,0,25.81
"Eswatini",2020-04-23,0,0,25.81
"Eswatini",2020-04-24,5,2,27.78
"Eswatini",2020-04-25,20,0,17.86
"Eswatini",2020-04-26,3,0,16.95
"Eswatini",2020-04-27,6,0,15.38
"Eswatini",2020-04-28,6,0,14.08
"Eswatini",2020-04-29,20,0,10.99
"Eswatini",2020-04-30,9,2,12
"Eswatini",2020-05-01,6,0,11.32
"Eswatini",2020-05-02,2,0,11.11
"Eswatini",2020-05-03,4,0,10.71
"Eswatini",2020-05-04,4,0,10.34
"Eswatini",2020-05-05,3,0,10.08
"Eswatini",2020-05-06,4,0,9.76
"Eswatini",2020-05-07,30,0,7.84
"Eswatini",2020-05-08,6,0,7.55
"Eswatini",2020-05-09,4,2,8.59
"Eswatini",2020-05-10,9,13,15.7
"Eswatini",2020-05-11,3,1,16
"Eswatini",2020-05-12,9,0,15.22
"Eswatini",2020-05-13,3,20,25.67
"Eswatini",2020-05-14,0,3,27.27
"Eswatini",2020-05-15,3,15,34.74
"Eswatini",2020-05-16,12,6,35.64
"Eswatini",2020-05-17,1,1,35.96
"Eswatini",2020-05-18,2,5,38.05
"Eswatini",2020-05-19,3,9,41.83
"Eswatini",2020-05-20,9,10,44.7
"Eswatini",2020-05-21,3,15,50.91
"Eswatini",2020-05-22,5,7,52.89
"Eswatini",2020-05-23,13,0,50
"Eswatini",2020-05-24,12,37,62.4
"Eswatini",2020-05-25,6,2,61.72
"Eswatini",2020-05-26,5,6,62.84
"Eswatini",2020-05-27,11,4,61.76
"Eswatini",2020-05-28,7,0,60.22
"Eswatini",2020-05-29,0,0,60.22
"Eswatini",2020-05-30,4,0,59.36
"Eswatini",2020-05-31,2,21,66.32
"Eswatini",2020-06-01,8,5,66.21
"Eswatini",2020-06-02,1,4,67.35
"Eswatini",2020-06-03,1,3,68.14
"Eswatini",2020-06-04,5,0,67
"Eswatini",2020-06-05,5,20,72.46
"Eswatini",2020-06-06,17,3,69.57
"Eswatini",2020-06-07,11,1,67.57
"Eswatini",2020-06-08,7,4,67.35
"Eswatini",2020-06-09,31,3,62.53
"Eswatini",2020-06-10,27,4,59.3
"Eswatini",2020-06-11,51,2,53.01
"Eswatini",2020-06-12,23,8,52.12
"Eswatini",2020-06-13,14,1,50.82
"Eswatini",2020-06-14,4,2,50.82
"Eswatini",2020-06-15,16,0,49.21
"Eswatini",2020-06-16,14,10,49.81
"Eswatini",2020-06-17,43,3,46.54
"Eswatini",2020-06-18,23,5,45.56
"Eswatini",2020-06-19,37,9,44.3
"Eswatini",2020-06-20,4,9,45.45
"Eswatini",2020-06-21,8,0,44.88
"Eswatini",2020-06-22,8,6,45.26
"Eswatini",2020-06-23,31,28,47.33
"Eswatini",2020-06-24,16,12,47.97
"Eswatini",2020-06-25,16,16,49.15
"Eswatini",2020-06-26,22,20,50.41
"Eswatini",2020-06-27,17,3,49.66
"Eswatini",2020-06-28,36,2,47.63
"Eswatini",2020-06-29,14,8,47.8
"Eswatini",2020-06-30,17,28,50.25
"Eswatini",2020-07-01,28,10,49.76
"Eswatini",2020-07-02,33,34,51.78
"Eswatini",2020-07-03,36,63,56.66
"Eswatini",2020-07-04,45,20,56.08
"Lesotho",2020-01-22,0,0,NA
"Lesotho",2020-01-23,0,0,NA
"Lesotho",2020-01-24,0,0,NA
"Lesotho",2020-01-25,0,0,NA
"Lesotho",2020-01-26,0,0,NA
"Lesotho",2020-01-27,0,0,NA
"Lesotho",2020-01-28,0,0,NA
"Lesotho",2020-01-29,0,0,NA
"Lesotho",2020-01-30,0,0,NA
"Lesotho",2020-01-31,0,0,NA
"Lesotho",2020-02-01,0,0,NA
"Lesotho",2020-02-02,0,0,NA
"Lesotho",2020-02-03,0,0,NA
"Lesotho",2020-02-04,0,0,NA
"Lesotho",2020-02-05,0,0,NA
"Lesotho",2020-02-06,0,0,NA
"Lesotho",2020-02-07,0,0,NA
"Lesotho",2020-02-08,0,0,NA
"Lesotho",2020-02-09,0,0,NA
"Lesotho",2020-02-10,0,0,NA
"Lesotho",2020-02-11,0,0,NA
"Lesotho",2020-02-12,0,0,NA
"Lesotho",2020-02-13,0,0,NA
"Lesotho",2020-02-14,0,0,NA
"Lesotho",2020-02-15,0,0,NA
"Lesotho",2020-02-16,0,0,NA
"Lesotho",2020-02-17,0,0,NA
"Lesotho",2020-02-18,0,0,NA
"Lesotho",2020-02-19,0,0,NA
"Lesotho",2020-02-20,0,0,NA
"Lesotho",2020-02-21,0,0,NA
"Lesotho",2020-02-22,0,0,NA
"Lesotho",2020-02-23,0,0,NA
"Lesotho",2020-02-24,0,0,NA
"Lesotho",2020-02-25,0,0,NA
"Lesotho",2020-02-26,0,0,NA
"Lesotho",2020-02-27,0,0,NA
"Lesotho",2020-02-28,0,0,NA
"Lesotho",2020-02-29,0,0,NA
"Lesotho",2020-03-01,0,0,NA
"Lesotho",2020-03-02,0,0,NA
"Lesotho",2020-03-03,0,0,NA
"Lesotho",2020-03-04,0,0,NA
"Lesotho",2020-03-05,0,0,NA
"Lesotho",2020-03-06,0,0,NA
"Lesotho",2020-03-07,0,0,NA
"Lesotho",2020-03-08,0,0,NA
"Lesotho",2020-03-09,0,0,NA
"Lesotho",2020-03-10,0,0,NA
"Lesotho",2020-03-11,0,0,NA
"Lesotho",2020-03-12,0,0,NA
"Lesotho",2020-03-13,0,0,NA
"Lesotho",2020-03-14,0,0,NA
"Lesotho",2020-03-15,0,0,NA
"Lesotho",2020-03-16,0,0,NA
"Lesotho",2020-03-17,0,0,NA
"Lesotho",2020-03-18,0,0,NA
"Lesotho",2020-03-19,0,0,NA
"Lesotho",2020-03-20,0,0,NA
"Lesotho",2020-03-21,0,0,NA
"Lesotho",2020-03-22,0,0,NA
"Lesotho",2020-03-23,0,0,NA
"Lesotho",2020-03-24,0,0,NA
"Lesotho",2020-03-25,0,0,NA
"Lesotho",2020-03-26,0,0,NA
"Lesotho",2020-03-27,0,0,NA
"Lesotho",2020-03-28,0,0,NA
"Lesotho",2020-03-29,0,0,NA
"Lesotho",2020-03-30,0,0,NA
"Lesotho",2020-03-31,0,0,NA
"Lesotho",2020-04-01,0,0,NA
